Mod:Item:MetaData, Localized Name
chisel:purpur1:7, Purpur Block
chisel:purpur1:8, Purpur Block
chisel:purpur1:9, Purpur Block
chisel:purpur2:0, Purpur Block
chisel:purpur2:1, Purpur Block
chisel:purpur2:2, Purpur Block
chisel:purpur2:3, Purpur Block
chisel:purpur2:4, Purpur Block
chisel:endstone:0, Endstone
chisel:endstone:1, Endstone
chisel:endstone:2, Endstone
chisel:endstone:3, Endstone
chisel:endstone:4, Endstone
chisel:endstone:5, Endstone
chisel:endstone:6, Endstone
chisel:endstone:7, Endstone
chisel:endstone:8, Endstone
chisel:endstone:9, Endstone
chisel:endstone:10, Endstone
chisel:endstone:11, Endstone
chisel:endstone:12, Endstone
chisel:endstone:13, Endstone
chisel:endstone:14, Endstone
chisel:endstone:15, Endstone
chisel:endstone1:0, Endstone
chisel:endstone1:1, Endstone
chisel:endstone1:2, Endstone
chisel:endstone1:3, Endstone
chisel:endstone1:4, Endstone
chisel:endstone1:5, Endstone
chisel:endstone1:6, Endstone
chisel:endstone1:7, Endstone
chisel:endstone1:8, Endstone
chisel:endstone1:9, Endstone
chisel:endstone2:0, Endstone
chisel:endstone2:1, Endstone
chisel:endstone2:2, Endstone
chisel:endstone2:3, Endstone
chisel:endstone2:4, Endstone
chisel:endstone2:5, Endstone
chisel:endstone2:6, Endstone
chisel:factory:0, Factory Block
chisel:factory:1, Factory Block
chisel:factory:2, Factory Block
chisel:factory:3, Factory Block
chisel:factory:4, Factory Block
chisel:factory:5, Factory Block
chisel:factory:6, Factory Block
chisel:factory:7, Factory Block
chisel:factory:8, Factory Block
chisel:factory:9, Factory Block
chisel:factory:10, Factory Block
chisel:factory:11, Factory Block
chisel:factory:12, Factory Block
chisel:factory:13, Factory Block
chisel:factory:14, Factory Block
chisel:factory:15, Factory Block
chisel:factory1:0, Factory Block
chisel:factory1:1, Factory Block
chisel:factory1:2, Factory Block
chisel:factory1:3, Factory Block
chisel:factory1:4, Factory Block
chisel:futura:0, Futura Block
chisel:futura:1, Futura Block
chisel:futura:2, Futura Block
chisel:futura:3, Futura Block
chisel:futura:4, Futura Block
chisel:futura:5, Futura Block
chisel:glass:0, Glass
chisel:glass:1, Glass
chisel:glass:2, Glass
chisel:glass:3, Glass
chisel:glass:4, Glass
chisel:glass:5, Glass
chisel:glass:6, Glass
chisel:glass:7, Glass
chisel:glass:8, Glass
chisel:glass:9, Glass
chisel:glass:10, Glass
chisel:glass:11, Glass
chisel:glass:12, Glass
chisel:glass:13, Glass
chisel:glass:14, Glass
chisel:glass:15, Glass
chisel:glassdyedblack:0, Black Stained Glass
chisel:glassdyedblack:1, Black Stained Glass
chisel:glassdyedblack:2, Black Stained Glass
chisel:glassdyedblack:3, Black Stained Glass
chisel:glassdyedblack:4, Black Stained Glass
chisel:glassdyedblack:5, Black Stained Glass
chisel:glassdyedred:0, Red Stained Glass
chisel:glassdyedred:1, Red Stained Glass
chisel:glassdyedred:2, Red Stained Glass
chisel:glassdyedred:3, Red Stained Glass
chisel:glassdyedred:4, Red Stained Glass
chisel:glassdyedred:5, Red Stained Glass
chisel:glassdyedgreen:0, Green Stained Glass
chisel:glassdyedgreen:1, Green Stained Glass
chisel:glassdyedgreen:2, Green Stained Glass
chisel:glassdyedgreen:3, Green Stained Glass
chisel:glassdyedgreen:4, Green Stained Glass
chisel:glassdyedgreen:5, Green Stained Glass
chisel:glassdyedbrown:0, Brown Stained Glass
chisel:glassdyedbrown:1, Brown Stained Glass
chisel:glassdyedbrown:2, Brown Stained Glass
chisel:glassdyedbrown:3, Brown Stained Glass
chisel:glassdyedbrown:4, Brown Stained Glass
chisel:glassdyedbrown:5, Brown Stained Glass
chisel:glassdyedblue:0, Blue Stained Glass
chisel:glassdyedblue:1, Blue Stained Glass
chisel:glassdyedblue:2, Blue Stained Glass
chisel:glassdyedblue:3, Blue Stained Glass
chisel:glassdyedblue:4, Blue Stained Glass
chisel:glassdyedblue:5, Blue Stained Glass
chisel:glassdyedpurple:0, Purple Stained Glass
chisel:glassdyedpurple:1, Purple Stained Glass
chisel:glassdyedpurple:2, Purple Stained Glass
chisel:glassdyedpurple:3, Purple Stained Glass
chisel:glassdyedpurple:4, Purple Stained Glass
chisel:glassdyedpurple:5, Purple Stained Glass
chisel:glassdyedcyan:0, Cyan Stained Glass
chisel:glassdyedcyan:1, Cyan Stained Glass
chisel:glassdyedcyan:2, Cyan Stained Glass
chisel:glassdyedcyan:3, Cyan Stained Glass
chisel:glassdyedcyan:4, Cyan Stained Glass
chisel:glassdyedcyan:5, Cyan Stained Glass
chisel:glassdyedlightgray:0, Light Gray Stained Glass
chisel:glassdyedlightgray:1, Light Gray Stained Glass
chisel:glassdyedlightgray:2, Light Gray Stained Glass
chisel:glassdyedlightgray:3, Light Gray Stained Glass
chisel:glassdyedlightgray:4, Light Gray Stained Glass
chisel:glassdyedlightgray:5, Light Gray Stained Glass
chisel:glassdyedgray:0, Gray Stained Glass
chisel:glassdyedgray:1, Gray Stained Glass
chisel:glassdyedgray:2, Gray Stained Glass
chisel:glassdyedgray:3, Gray Stained Glass
chisel:glassdyedgray:4, Gray Stained Glass
chisel:glassdyedgray:5, Gray Stained Glass
chisel:glassdyedpink:0, Pink Stained Glass
chisel:glassdyedpink:1, Pink Stained Glass
chisel:glassdyedpink:2, Pink Stained Glass
chisel:glassdyedpink:3, Pink Stained Glass
chisel:glassdyedpink:4, Pink Stained Glass
chisel:glassdyedpink:5, Pink Stained Glass
chisel:glassdyedlime:0, Lime Stained Glass
chisel:glassdyedlime:1, Lime Stained Glass
chisel:glassdyedlime:2, Lime Stained Glass
chisel:glassdyedlime:3, Lime Stained Glass
chisel:glassdyedlime:4, Lime Stained Glass
chisel:glassdyedlime:5, Lime Stained Glass
chisel:glassdyedyellow:0, Yellow Stained Glass
chisel:glassdyedyellow:1, Yellow Stained Glass
chisel:glassdyedyellow:2, Yellow Stained Glass
chisel:glassdyedyellow:3, Yellow Stained Glass
chisel:glassdyedyellow:4, Yellow Stained Glass
chisel:glassdyedyellow:5, Yellow Stained Glass
chisel:glassdyedlightblue:0, Light Blue Stained Glass
chisel:glassdyedlightblue:1, Light Blue Stained Glass
chisel:glassdyedlightblue:2, Light Blue Stained Glass
chisel:glassdyedlightblue:3, Light Blue Stained Glass
chisel:glassdyedlightblue:4, Light Blue Stained Glass
chisel:glassdyedlightblue:5, Light Blue Stained Glass
chisel:glassdyedmagenta:0, Magenta Stained Glass
chisel:glassdyedmagenta:1, Magenta Stained Glass
chisel:glassdyedmagenta:2, Magenta Stained Glass
chisel:glassdyedmagenta:3, Magenta Stained Glass
chisel:glassdyedmagenta:4, Magenta Stained Glass
chisel:glassdyedmagenta:5, Magenta Stained Glass
chisel:glassdyedorange:0, Orange Stained Glass
chisel:glassdyedorange:1, Orange Stained Glass
chisel:glassdyedorange:2, Orange Stained Glass
chisel:glassdyedorange:3, Orange Stained Glass
chisel:glassdyedorange:4, Orange Stained Glass
chisel:glassdyedorange:5, Orange Stained Glass
chisel:glassdyedwhite:0, White Stained Glass
chisel:glassdyedwhite:1, White Stained Glass
chisel:glassdyedwhite:2, White Stained Glass
chisel:glassdyedwhite:3, White Stained Glass
chisel:glassdyedwhite:4, White Stained Glass
chisel:glassdyedwhite:5, White Stained Glass
chisel:glowstone:0, Glowstone
chisel:glowstone:1, Glowstone
chisel:glowstone:2, Glowstone
chisel:glowstone:3, Glowstone
chisel:glowstone:4, Glowstone
chisel:glowstone:5, Glowstone
chisel:glowstone:6, Glowstone
chisel:glowstone:7, Glowstone
chisel:glowstone:8, Glowstone
chisel:glowstone:9, Glowstone
chisel:glowstone:10, Glowstone
chisel:glowstone:11, Glowstone
chisel:glowstone:12, Glowstone
chisel:glowstone:13, Glowstone
chisel:glowstone:14, Glowstone
chisel:glowstone:15, Glowstone
chisel:glowstone1:0, Glowstone
chisel:glowstone1:1, Glowstone
chisel:glowstone1:2, Glowstone
chisel:glowstone1:3, Glowstone
chisel:glowstone1:4, Glowstone
chisel:glowstone1:5, Glowstone
chisel:glowstone1:6, Glowstone
chisel:glowstone1:7, Glowstone
chisel:glowstone1:8, Glowstone
chisel:glowstone1:9, Glowstone
chisel:glowstone1:10, Glowstone
chisel:glowstone1:11, Glowstone
chisel:glowstone1:12, Glowstone
chisel:glowstone1:13, Glowstone
chisel:glowstone1:14, Glowstone
chisel:glowstone1:15, Glowstone
chisel:glowstone2:0, Glowstone
chisel:blockgold:0, Block of Gold
chisel:blockgold:1, Block of Gold
chisel:blockgold:2, Block of Gold
chisel:blockgold:3, Block of Gold
chisel:blockgold:4, Block of Gold
chisel:blockgold:5, Block of Gold
chisel:blockgold:6, Block of Gold
chisel:gold:0, Block of Gold
chisel:gold:1, Block of Gold
chisel:gold:2, Block of Gold
chisel:gold:3, Block of Gold
chisel:gold:4, Block of Gold
chisel:gold:5, Block of Gold
chisel:gold:6, Block of Gold
chisel:gold:7, Block of Gold
chisel:gold:8, Block of Gold
chisel:gold:9, Block of Gold
chisel:gold:10, Block of Gold
chisel:gold:11, Block of Gold
chisel:gold:12, Block of Gold
chisel:gold:13, Block of Gold
chisel:gold:14, Block of Gold
chisel:granite:0, Granite
chisel:granite:1, Granite
chisel:granite:2, Granite
chisel:granite:3, Granite
chisel:granite:4, Granite
chisel:granite:5, Granite
chisel:granite:6, Granite
chisel:granite:7, Granite
chisel:granite:8, Granite
chisel:granite:9, Granite
chisel:granite:10, Granite
chisel:granite:11, Granite
chisel:granite:12, Granite
chisel:granite:13, Granite
chisel:granite:14, Granite
chisel:granite:15, Granite
chisel:granite1:0, Granite
chisel:granite1:1, Granite
chisel:granite1:2, Granite
chisel:granite1:3, Granite
chisel:granite1:4, Granite
chisel:granite1:5, Granite
chisel:granite1:6, Granite
chisel:granite1:7, Granite
chisel:granite1:8, Granite
chisel:granite1:9, Granite
chisel:granite1:10, Granite
chisel:granite1:11, Granite
chisel:granite1:12, Granite
chisel:granite1:13, Granite
chisel:granite1:14, Granite
chisel:granite1:15, Granite
chisel:granite2:0, Granite
chisel:hardenedclay:0, Terracotta
chisel:hardenedclay:1, Terracotta
chisel:hardenedclay:2, Terracotta
chisel:hardenedclay:3, Terracotta
chisel:hardenedclay:4, Terracotta
chisel:hardenedclay:5, Terracotta
chisel:hardenedclay:6, Terracotta
chisel:hardenedclay:7, Terracotta
chisel:hardenedclay:8, Terracotta
chisel:hardenedclay:9, Terracotta
chisel:hardenedclay:10, Terracotta
chisel:hardenedclay:11, Terracotta
chisel:hardenedclay:12, Terracotta
chisel:hardenedclay:13, Terracotta
chisel:hardenedclay:14, Terracotta
chisel:hardenedclay:15, Terracotta
chisel:hardenedclay1:0, Terracotta
chisel:hardenedclay1:1, Terracotta
chisel:hardenedclay1:2, Terracotta
chisel:hardenedclay1:3, Terracotta
chisel:hardenedclay1:4, Terracotta
chisel:hardenedclay1:5, Terracotta
chisel:hardenedclay1:6, Terracotta
chisel:hardenedclay1:7, Terracotta
chisel:hardenedclay1:8, Terracotta
chisel:hardenedclay1:9, Terracotta
chisel:hardenedclay2:0, Terracotta
chisel:hardenedclay2:1, Terracotta
chisel:hardenedclay2:2, Terracotta
chisel:hardenedclay2:3, Terracotta
chisel:hardenedclay2:4, Terracotta
chisel:hardenedclay2:5, Terracotta
chisel:hardenedclay2:6, Terracotta
chisel:ice:0, Ice
chisel:ice:1, Ice
chisel:ice:2, Ice
chisel:ice:3, Ice
chisel:ice:4, Ice
chisel:ice:5, Ice
chisel:ice:6, Ice
chisel:ice:7, Ice
chisel:ice:8, Ice
chisel:ice:9, Ice
chisel:ice:10, Ice
chisel:ice:11, Ice
chisel:ice:12, Ice
chisel:ice:13, Ice
chisel:ice:14, Ice
chisel:ice:15, Ice
chisel:ice1:0, Ice
chisel:ice1:1, Ice
chisel:ice1:2, Ice
chisel:ice1:3, Ice
chisel:ice1:4, Ice
chisel:ice1:5, Ice
chisel:ice1:6, Ice
chisel:ice1:7, Ice
chisel:ice1:8, Ice
chisel:ice1:9, Ice
chisel:ice1:10, Ice
chisel:ice1:11, Ice
chisel:ice1:12, Ice
chisel:ice1:13, Ice
chisel:ice1:14, Ice
chisel:ice1:15, Ice
chisel:ice2:0, Ice
chisel:icepillar:0, Ice Pillar
chisel:icepillar:1, Ice Pillar
chisel:icepillar:2, Ice Pillar
chisel:icepillar:3, Ice Pillar
chisel:icepillar:4, Ice Pillar
chisel:icepillar:5, Ice Pillar
chisel:icepillar:6, Ice Pillar
chisel:blockinvar:0, Block of Invar
chisel:blockinvar:1, Block of Invar
chisel:blockinvar:2, Block of Invar
chisel:blockinvar:3, Block of Invar
chisel:blockinvar:4, Block of Invar
chisel:blockinvar:5, Block of Invar
chisel:blockinvar:6, Block of Invar
chisel:blockiron:0, Block of Iron
chisel:blockiron:1, Block of Iron
chisel:blockiron:2, Block of Iron
chisel:blockiron:3, Block of Iron
chisel:blockiron:4, Block of Iron
chisel:blockiron:5, Block of Iron
chisel:blockiron:6, Block of Iron
chisel:iron:0, Block of Iron
chisel:iron:1, Block of Iron
chisel:iron:2, Block of Iron
chisel:iron:3, Block of Iron
chisel:iron:4, Block of Iron
chisel:iron:5, Block of Iron
chisel:iron:6, Block of Iron
chisel:iron:7, Block of Iron
chisel:iron:8, Block of Iron
chisel:iron:9, Block of Iron
chisel:iron:10, Block of Iron
chisel:iron:11, Block of Iron
chisel:iron:12, Block of Iron
chisel:iron:13, Block of Iron
chisel:iron:14, Block of Iron
chisel:ironpane:0, Iron Bars
chisel:ironpane:1, Iron Bars
chisel:ironpane:2, Iron Bars
chisel:ironpane:3, Iron Bars
chisel:ironpane:4, Iron Bars
chisel:ironpane:5, Iron Bars
chisel:ironpane:6, Iron Bars
chisel:ironpane:7, Iron Bars
chisel:ironpane:8, Iron Bars
chisel:ironpane:9, Iron Bars
chisel:ironpane:10, Iron Bars
chisel:ironpane:11, Iron Bars
chisel:ironpane:12, Iron Bars
chisel:laboratory:0, Laboratory Block
chisel:laboratory:1, Laboratory Block
chisel:laboratory:2, Laboratory Block
chisel:laboratory:3, Laboratory Block
chisel:laboratory:4, Laboratory Block
chisel:laboratory:5, Laboratory Block
chisel:laboratory:6, Laboratory Block
chisel:laboratory:7, Laboratory Block
chisel:laboratory:8, Laboratory Block
chisel:laboratory:9, Laboratory Block
chisel:laboratory:10, Laboratory Block
chisel:laboratory:11, Laboratory Block
chisel:laboratory:12, Laboratory Block
chisel:laboratory:13, Laboratory Block
chisel:laboratory:14, Laboratory Block
chisel:laboratory:15, Laboratory Block
chisel:lapis:0, Lapis Lazuli Block
chisel:lapis:1, Lapis Lazuli Block
chisel:lapis:2, Lapis Lazuli Block
chisel:lapis:3, Lapis Lazuli Block
chisel:lapis:4, Lapis Lazuli Block
chisel:lapis:5, Lapis Lazuli Block
chisel:lapis:6, Lapis Lazuli Block
chisel:lapis:7, Lapis Lazuli Block
chisel:lapis:8, Lapis Lazuli Block
chisel:lavastone:0, Lavastone
chisel:lavastone:1, Lavastone
chisel:lavastone:2, Lavastone
chisel:lavastone:3, Lavastone
chisel:lavastone:4, Lavastone
chisel:lavastone:5, Lavastone
chisel:lavastone:6, Lavastone
chisel:lavastone:7, Lavastone
chisel:lavastone:8, Lavastone
chisel:lavastone:9, Lavastone
chisel:lavastone:10, Lavastone
chisel:lavastone:11, Lavastone
chisel:lavastone:12, Lavastone
chisel:lavastone:13, Lavastone
chisel:lavastone:14, Lavastone
chisel:lavastone:15, Lavastone
chisel:lavastone1:0, Lavastone
chisel:lavastone1:1, Lavastone
chisel:lavastone1:2, Lavastone
chisel:lavastone1:3, Lavastone
chisel:lavastone1:4, Lavastone
chisel:lavastone1:5, Lavastone
chisel:lavastone1:6, Lavastone
chisel:lavastone1:7, Lavastone
chisel:lavastone1:8, Lavastone
chisel:lavastone1:9, Lavastone
chisel:lavastone1:10, Lavastone
chisel:lavastone1:11, Lavastone
chisel:lavastone1:12, Lavastone
chisel:lavastone1:13, Lavastone
chisel:lavastone1:14, Lavastone
chisel:lavastone1:15, Lavastone
chisel:lavastone2:0, Lavastone
chisel:blocklead:0, Block of Lead
chisel:blocklead:1, Block of Lead
chisel:blocklead:2, Block of Lead
chisel:blocklead:3, Block of Lead
chisel:blocklead:4, Block of Lead
chisel:blocklead:5, Block of Lead
chisel:blocklead:6, Block of Lead
chisel:limestone:0, Limestone
chisel:limestone:1, Limestone
chisel:limestone:2, Limestone
chisel:limestone:3, Limestone
chisel:limestone:4, Limestone
chisel:limestone:5, Limestone
chisel:limestone:6, Limestone
chisel:limestone:7, Limestone
chisel:limestone:8, Limestone
chisel:limestone:9, Limestone
chisel:limestone:10, Limestone
chisel:limestone:11, Limestone
chisel:limestone:12, Limestone
chisel:limestone:13, Limestone
chisel:limestone:14, Limestone
chisel:limestone:15, Limestone
chisel:limestone1:0, Limestone
chisel:limestone1:1, Limestone
chisel:limestone1:2, Limestone
chisel:limestone1:3, Limestone
chisel:limestone1:4, Limestone
chisel:limestone1:5, Limestone
chisel:limestone1:6, Limestone
chisel:limestone1:7, Limestone
chisel:limestone1:8, Limestone
chisel:limestone1:9, Limestone
chisel:limestone2:0, Limestone
chisel:limestone2:1, Limestone
chisel:limestone2:2, Limestone
chisel:limestone2:3, Limestone
chisel:limestone2:4, Limestone
chisel:limestone2:5, Limestone
chisel:limestone2:6, Limestone
chisel:limestone2:7, Limestone
chisel:marble:0, Marble
chisel:marble:1, Marble
chisel:marble:2, Marble
chisel:marble:3, Marble
chisel:marble:4, Marble
chisel:marble:5, Marble
chisel:marble:6, Marble
chisel:marble:7, Marble
chisel:marble:8, Marble
chisel:marble:9, Marble
chisel:marble:10, Marble
chisel:marble:11, Marble
chisel:marble:12, Marble
chisel:marble:13, Marble
chisel:marble:14, Marble
chisel:marble:15, Marble
chisel:marble1:0, Marble
chisel:marble1:1, Marble
chisel:marble1:2, Marble
chisel:marble1:3, Marble
chisel:marble1:4, Marble
chisel:marble1:5, Marble
chisel:marble1:6, Marble
chisel:marble1:7, Marble
chisel:marble1:8, Marble
chisel:marble1:9, Marble
chisel:marble2:0, Marble
chisel:marble2:1, Marble
chisel:marble2:2, Marble
chisel:marble2:3, Marble
chisel:marble2:4, Marble
chisel:marble2:5, Marble
chisel:marble2:6, Marble
chisel:marble2:7, Marble
chisel:marblepillar:0, Marble Pillar
chisel:marblepillar:1, Marble Pillar
chisel:marblepillar:2, Marble Pillar
chisel:marblepillar:3, Marble Pillar
chisel:marblepillar:4, Marble Pillar
chisel:marblepillar:5, Marble Pillar
chisel:marblepillar:6, Marble Pillar
chisel:marblepillar:7, Marble Pillar
chisel:marblepillar:8, Marble Pillar
chisel:marblepillar:9, Marble Pillar
chisel:marblepillar:10, Marble Pillar
chisel:marblepillar:11, Marble Pillar
chisel:marblepillar:12, Marble Pillar
chisel:marblepillar:13, Marble Pillar
chisel:marblepillar:14, Marble Pillar
chisel:marblepillar:15, Marble Pillar
chisel:netherbrick:0, Nether Bricks
chisel:netherbrick:1, Nether Bricks
chisel:netherbrick:2, Nether Bricks
chisel:netherbrick:3, Nether Bricks
chisel:netherbrick:4, Nether Bricks
chisel:netherbrick:5, Nether Bricks
chisel:netherbrick:6, Nether Bricks
chisel:netherbrick:7, Nether Bricks
chisel:netherbrick:8, Nether Bricks
chisel:netherbrick:9, Nether Bricks
chisel:netherbrick:10, Nether Bricks
chisel:netherbrick:11, Nether Bricks
chisel:netherbrick:12, Nether Bricks
chisel:netherbrick:13, Nether Bricks
chisel:netherbrick:14, Nether Bricks
chisel:netherbrick:15, Nether Bricks
chisel:netherrack:0, Netherrack
chisel:netherrack:1, Netherrack
chisel:netherrack:2, Netherrack
chisel:netherrack:3, Netherrack
chisel:netherrack:4, Netherrack
chisel:netherrack:5, Netherrack
chisel:netherrack:6, Netherrack
chisel:netherrack:7, Netherrack
chisel:netherrack:8, Netherrack
chisel:netherrack:9, Netherrack
chisel:netherrack:10, Netherrack
chisel:netherrack:11, Netherrack
chisel:netherrack:12, Netherrack
chisel:netherrack:13, Netherrack
chisel:blocknickel:0, Block of Nickel
chisel:blocknickel:1, Block of Nickel
chisel:blocknickel:2, Block of Nickel
chisel:blocknickel:3, Block of Nickel
chisel:blocknickel:4, Block of Nickel
chisel:blocknickel:5, Block of Nickel
chisel:blocknickel:6, Block of Nickel
chisel:obsidian:0, Obsidian
chisel:obsidian:1, Obsidian
chisel:obsidian:2, Obsidian
chisel:obsidian:3, Obsidian
chisel:obsidian:4, Obsidian
chisel:obsidian:5, Obsidian
chisel:obsidian:6, Obsidian
chisel:obsidian:7, Obsidian
chisel:obsidian:8, Obsidian
chisel:obsidian:9, Obsidian
chisel:obsidian:10, Obsidian
chisel:obsidian:11, Obsidian
chisel:obsidian:12, Obsidian
chisel:obsidian:13, Obsidian
chisel:obsidian:14, Obsidian
chisel:paper:0, Paper Wall
chisel:paper:1, Paper Wall
chisel:paper:2, Paper Wall
chisel:paper:3, Paper Wall
chisel:paper:4, Paper Wall
chisel:paper:5, Paper Wall
chisel:paper:6, Paper Wall
chisel:paper:7, Paper Wall
chisel:paper:8, Paper Wall
chisel:planks-oak:0, Oak Planks
chisel:planks-oak:1, Oak Planks
chisel:planks-oak:2, Oak Planks
chisel:planks-oak:3, Oak Planks
chisel:planks-oak:4, Oak Planks
chisel:planks-oak:5, Oak Planks
chisel:planks-oak:6, Oak Planks
chisel:planks-oak:7, Oak Planks
chisel:planks-oak:8, Oak Planks
chisel:planks-oak:9, Oak Planks
chisel:planks-oak:10, Oak Planks
chisel:planks-oak:11, Oak Planks
chisel:planks-oak:12, Oak Planks
chisel:planks-oak:13, Oak Planks
chisel:planks-oak:14, Oak Planks
chisel:planks-spruce:0, Spruce Planks
chisel:planks-spruce:1, Spruce Planks
chisel:planks-spruce:2, Spruce Planks
chisel:planks-spruce:3, Spruce Planks
chisel:planks-spruce:4, Spruce Planks
chisel:planks-spruce:5, Spruce Planks
chisel:planks-spruce:6, Spruce Planks
chisel:planks-spruce:7, Spruce Planks
chisel:planks-spruce:8, Spruce Planks
chisel:planks-spruce:9, Spruce Planks
chisel:planks-spruce:10, Spruce Planks
chisel:planks-spruce:11, Spruce Planks
chisel:planks-spruce:12, Spruce Planks
chisel:planks-spruce:13, Spruce Planks
chisel:planks-spruce:14, Spruce Planks
chisel:planks-birch:0, Birch Planks
chisel:planks-birch:1, Birch Planks
chisel:planks-birch:2, Birch Planks
chisel:planks-birch:3, Birch Planks
chisel:planks-birch:4, Birch Planks
chisel:planks-birch:5, Birch Planks
chisel:planks-birch:6, Birch Planks
chisel:planks-birch:7, Birch Planks
chisel:planks-birch:8, Birch Planks
chisel:planks-birch:9, Birch Planks
chisel:planks-birch:10, Birch Planks
chisel:planks-birch:11, Birch Planks
chisel:planks-birch:12, Birch Planks
chisel:planks-birch:13, Birch Planks
chisel:planks-birch:14, Birch Planks
chisel:planks-jungle:0, Jungle Planks
chisel:planks-jungle:1, Jungle Planks
chisel:planks-jungle:2, Jungle Planks
chisel:planks-jungle:3, Jungle Planks
chisel:planks-jungle:4, Jungle Planks
chisel:planks-jungle:5, Jungle Planks
chisel:planks-jungle:6, Jungle Planks
chisel:planks-jungle:7, Jungle Planks
chisel:planks-jungle:8, Jungle Planks
chisel:planks-jungle:9, Jungle Planks
chisel:planks-jungle:10, Jungle Planks
chisel:planks-jungle:11, Jungle Planks
chisel:planks-jungle:12, Jungle Planks
chisel:planks-jungle:13, Jungle Planks
chisel:planks-jungle:14, Jungle Planks
chisel:planks-acacia:0, Acacia Planks
chisel:planks-acacia:1, Acacia Planks
chisel:planks-acacia:2, Acacia Planks
chisel:planks-acacia:3, Acacia Planks
chisel:planks-acacia:4, Acacia Planks
chisel:planks-acacia:5, Acacia Planks
chisel:planks-acacia:6, Acacia Planks
chisel:planks-acacia:7, Acacia Planks
chisel:planks-acacia:8, Acacia Planks
chisel:planks-acacia:9, Acacia Planks
chisel:planks-acacia:10, Acacia Planks
chisel:planks-acacia:11, Acacia Planks
chisel:planks-acacia:12, Acacia Planks
chisel:planks-acacia:13, Acacia Planks
chisel:planks-acacia:14, Acacia Planks
chisel:planks-dark-oak:0, Dark Oak Planks
chisel:planks-dark-oak:1, Dark Oak Planks
chisel:planks-dark-oak:2, Dark Oak Planks
chisel:planks-dark-oak:3, Dark Oak Planks
chisel:planks-dark-oak:4, Dark Oak Planks
chisel:planks-dark-oak:5, Dark Oak Planks
chisel:planks-dark-oak:6, Dark Oak Planks
chisel:planks-dark-oak:7, Dark Oak Planks
chisel:planks-dark-oak:8, Dark Oak Planks
chisel:planks-dark-oak:9, Dark Oak Planks
chisel:planks-dark-oak:10, Dark Oak Planks
chisel:planks-dark-oak:11, Dark Oak Planks
chisel:planks-dark-oak:12, Dark Oak Planks
chisel:planks-dark-oak:13, Dark Oak Planks
chisel:planks-dark-oak:14, Dark Oak Planks
chisel:blockplatinum:0, Block of Platinum
chisel:blockplatinum:1, Block of Platinum
chisel:blockplatinum:2, Block of Platinum
chisel:blockplatinum:3, Block of Platinum
chisel:blockplatinum:4, Block of Platinum
chisel:blockplatinum:5, Block of Platinum
chisel:blockplatinum:6, Block of Platinum
chisel:prismarine:0, Prismarine
chisel:prismarine:1, Prismarine
chisel:prismarine:2, Prismarine
chisel:prismarine:3, Prismarine
chisel:prismarine:4, Prismarine
chisel:prismarine:5, Prismarine
chisel:prismarine:6, Prismarine
chisel:prismarine:7, Prismarine
chisel:prismarine:8, Prismarine
chisel:prismarine:9, Prismarine
chisel:prismarine:10, Prismarine
chisel:prismarine:11, Prismarine
chisel:prismarine:12, Prismarine
chisel:prismarine:13, Prismarine
chisel:prismarine:14, Prismarine
chisel:prismarine:15, Prismarine
chisel:prismarine1:0, Prismarine
chisel:prismarine1:1, Prismarine
chisel:prismarine1:2, Prismarine
chisel:prismarine1:3, Prismarine
chisel:prismarine1:4, Prismarine
chisel:prismarine1:5, Prismarine
chisel:prismarine1:6, Prismarine
chisel:prismarine1:7, Prismarine
chisel:prismarine1:8, Prismarine
chisel:prismarine1:9, Prismarine
chisel:prismarine2:0, Prismarine
chisel:prismarine2:1, Prismarine
chisel:prismarine2:2, Prismarine
chisel:prismarine2:3, Prismarine
chisel:prismarine2:4, Prismarine
chisel:prismarine2:5, Prismarine
chisel:quartz:0, Block of Quartz
chisel:quartz:1, Block of Quartz
chisel:quartz:2, Block of Quartz
chisel:quartz:3, Block of Quartz
chisel:quartz:4, Block of Quartz
chisel:quartz:5, Block of Quartz
chisel:quartz:6, Block of Quartz
chisel:quartz:7, Block of Quartz
chisel:quartz:8, Block of Quartz
chisel:quartz:9, Block of Quartz
chisel:quartz:10, Block of Quartz
chisel:quartz:11, Block of Quartz
chisel:quartz:12, Block of Quartz
chisel:quartz:13, Block of Quartz
chisel:quartz:14, Block of Quartz
chisel:quartz:15, Block of Quartz
chisel:quartz1:0, Block of Quartz
chisel:quartz1:1, Block of Quartz
chisel:quartz1:2, Block of Quartz
chisel:quartz1:3, Block of Quartz
chisel:quartz1:4, Block of Quartz
chisel:quartz1:5, Block of Quartz
chisel:quartz1:6, Block of Quartz
chisel:quartz1:7, Block of Quartz
chisel:quartz1:8, Block of Quartz
chisel:quartz1:9, Block of Quartz
chisel:quartz1:10, Block of Quartz
chisel:quartz1:11, Block of Quartz
chisel:quartz1:12, Block of Quartz
chisel:quartz1:13, Block of Quartz
chisel:quartz1:14, Block of Quartz
chisel:quartz1:15, Block of Quartz
chisel:redstone:0, Block of Redstone
chisel:redstone:1, Block of Redstone
chisel:redstone:2, Block of Redstone
chisel:redstone:3, Block of Redstone
chisel:redstone:4, Block of Redstone
chisel:redstone:5, Block of Redstone
chisel:redstone:6, Block of Redstone
chisel:redstone:7, Block of Redstone
chisel:redstone:8, Block of Redstone
chisel:redstone:9, Block of Redstone
